epoch,		train_loss,		val_loss,		val_accuracy,		precision,		recall,		f1_score
1,			1.2369,			0.5839,			0.8181,				0.8115,			0.7433,		0.7577
2,			0.5536,			0.3482,			0.8906,				0.8752,			0.8474,		0.8577
3,			0.4284,			0.2512,			0.9186,				0.9069,			0.8760,		0.8849
4,			0.3664,			0.2456,			0.9223,				0.9041,			0.8919,		0.8963
5,			0.3369,			0.1992,			0.9407,				0.9269,			0.9008,		0.9105
6,			0.3086,			0.1842,			0.9418,				0.9315,			0.9079,		0.9151
7,			0.2771,			0.1852,			0.9386,				0.9269,			0.9045,		0.9074
8,			0.2722,			0.1678,			0.9439,				0.9242,			0.9200,		0.9210
9,			0.2522,			0.1456,			0.9552,				0.9427,			0.9253,		0.9304
10,			0.2450,			0.1849,			0.9376,				0.9295,			0.8994,		0.9074
11,			0.2242,			0.1515,			0.9539,				0.9426,			0.9193,		0.9283
12,			0.2154,			0.1413,			0.9541,				0.9373,			0.9247,		0.9301
13,			0.2092,			0.1474,			0.9545,				0.9411,			0.9227,		0.9290
14,			0.1943,			0.1362,			0.9567,				0.9417,			0.9365,		0.9377
15,			0.1995,			0.1135,			0.9632,				0.9510,			0.9379,		0.9432
16,			0.1804,			0.1307,			0.9551,				0.9404,			0.9255,		0.9291
17,			0.1799,			0.1129,			0.9626,				0.9455,			0.9416,		0.9431
18,			0.1710,			0.1113,			0.9636,				0.9509,			0.9456,		0.9471
19,			0.1665,			0.1042,			0.9682,				0.9547,			0.9458,		0.9497
20,			0.1623,			0.1232,			0.9610,				0.9575,			0.9355,		0.9449
21,			0.1521,			0.1141,			0.9635,				0.9527,			0.9337,		0.9410
22,			0.1511,			0.1074,			0.9655,				0.9538,			0.9391,		0.9451
23,			0.1426,			0.1003,			0.9677,				0.9606,			0.9451,		0.9508
24,			0.1427,			0.1122,			0.9620,				0.9516,			0.9420,		0.9463
25,			0.1356,			0.0923,			0.9687,				0.9592,			0.9474,		0.9516
26,			0.1311,			0.0938,			0.9701,				0.9578,			0.9521,		0.9545
27,			0.1294,			0.0929,			0.9702,				0.9617,			0.9483,		0.9532
28,			0.1265,			0.0989,			0.9661,				0.9592,			0.9512,		0.9545
29,			0.1306,			0.0926,			0.9693,				0.9610,			0.9467,		0.9520
30,			0.1050,			0.0743,			0.9761,				0.9683,			0.9590,		0.9632
31,			0.0924,			0.0672,			0.9774,				0.9703,			0.9632,		0.9663
32,			0.0908,			0.0637,			0.9782,				0.9693,			0.9615,		0.9650
33,			0.0868,			0.0660,			0.9781,				0.9704,			0.9646,		0.9673
34,			0.0826,			0.0623,			0.9795,				0.9691,			0.9656,		0.9670
35,			0.0803,			0.0640,			0.9776,				0.9706,			0.9631,		0.9663
36,			0.0740,			0.0555,			0.9796,				0.9716,			0.9611,		0.9656
37,			0.0730,			0.0609,			0.9791,				0.9695,			0.9659,		0.9675
38,			0.0745,			0.0604,			0.9789,				0.9710,			0.9633,		0.9665
39,			0.0736,			0.0596,			0.9797,				0.9701,			0.9627,		0.9660
40,			0.0738,			0.0566,			0.9814,				0.9702,			0.9655,		0.9676
41,			0.0692,			0.0551,			0.9818,				0.9744,			0.9671,		0.9704
42,			0.0696,			0.0613,			0.9791,				0.9705,			0.9629,		0.9664
43,			0.0705,			0.0569,			0.9807,				0.9702,			0.9658,		0.9678
44,			0.0673,			0.0584,			0.9801,				0.9688,			0.9652,		0.9668
45,			0.0724,			0.0555,			0.9808,				0.9719,			0.9665,		0.9690
46,			0.0711,			0.0552,			0.9808,				0.9713,			0.9655,		0.9681
47,			0.0731,			0.0587,			0.9804,				0.9712,			0.9638,		0.9670
48,			0.0692,			0.0555,			0.9816,				0.9735,			0.9695,		0.9713
49,			0.0719,			0.0589,			0.9803,				0.9681,			0.9646,		0.9661
50,			0.0669,			0.0549,			0.9808,				0.9723,			0.9637,		0.9675
51,			0.0693,			0.0582,			0.9821,				0.9756,			0.9688,		0.9719
52,			0.0768,			0.0577,			0.9803,				0.9708,			0.9663,		0.9684
53,			0.0701,			0.0539,			0.9836,				0.9781,			0.9732,		0.9754
54,			0.0691,			0.0561,			0.9823,				0.9731,			0.9673,		0.9698
55,			0.0712,			0.0561,			0.9821,				0.9728,			0.9670,		0.9697
56,			0.0702,			0.0593,			0.9801,				0.9708,			0.9657,		0.9680
57,			0.0685,			0.0561,			0.9808,				0.9728,			0.9668,		0.9695
58,			0.0696,			0.0619,			0.9796,				0.9739,			0.9654,		0.9691
59,			0.0663,			0.0573,			0.9820,				0.9729,			0.9661,		0.9691
60,			0.0730,			0.0556,			0.9806,				0.9732,			0.9652,		0.9688
61,			0.0689,			0.0562,			0.9818,				0.9713,			0.9694,		0.9702
62,			0.0709,			0.0646,			0.9800,				0.9745,			0.9662,		0.9700
63,			0.0680,			0.0582,			0.9810,				0.9724,			0.9681,		0.9698
